Pack	Topic	Problem Name	Problem Link	Question Statement	Time Complexity	Memory Complexity	Expectation	A	B	C	D	Correct	Message Response For A	Message Response For B	Message Response For C	Message Response For D	Hint	C++ Code Link	Python Code Link	Java Code Link	English Video Solution
Coding Interviews	Arrays: Prefix Sum	Maximum Difference Between Increasing Elements	https://leetcode.com/problems/maximum-difference-between-increasing-elements/	Given a **0-indexed** integer array *nums* of size *n*, find the maximum difference between *nums[i]* and *nums[j]* (i.e., *nums[j]* - *nums[i]*), such that *0 <= i < j < n* and *nums[i]* < *nums[j]*.  <br><br>Return the maximum difference. If no such *i* and *j* exists, return *-1*.	O(n)	O(1)	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(1)**	Cumulative Sum	Sliding Window	Sliding Window + Hash Table	Linear Scan + Single Pointer	D	**Incorrect!**  <br><br>This is slightly more complex than the correct answer.  While the time complexity is the same as *Linear Scan + Single Pointer*, a prefix sum approach involves creating additional arrays, leading to poorer space complexity.	Not quite the optimal approach!  <br><br>A sliding window is typically used when we're looking for a contiguous array of a fixed length.	Extremely inefficient.<br><br>This would be *O(n)* in memory with no improvement in time complexity, whereas the optimal solution is *O(1)* in memory.	**Correct!**<br><br>We can iterate through the array from back to front in a single pass, keeping track of the MAXIMUM element found so far, while checking each new element to see if it's less than the maximum element.<br><br>If so, we calculate the difference between this element and the maximum, and then update the maximum difference if necessary.<br><br>Time Complexity: O(n)<br>Memory Complexity: O(1)	Using nested loops, consider all possible pairs (i, j) where i < j and nums[i] < nums[j].<br>For each pair, compute their difference and keep track of the maximum difference found so far.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Maximum%20Difference%20Between%20Increasing%20Elements.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Maximum%20Difference%20Between%20Increasing%20Elements.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Maximum%20Difference%20Between%20Increasing%20Elements.java	https://youtu.be/ULmsRWTwFpQ
Coding Interviews	Arrays:Sliding Window	SubArray Sum Equals K	https://leetcode.com/problems/subarray-sum-equals-k/	Given an array of integers *nums* and an integer *k*, return the total number of subarrays whose sum equals to *k*.<br><br>A subarray is a contiguous non-empty sequence of elements within an array.	O(n)	O(n)	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(n)**	Cumulative Sum	Binary Indexed Tree (BIT)	Sliding Window + Hash Table	Sorting + Sliding Window	C	Feasible, but *inefficient* as it typically involves nested loops.<br><br>We'd precompute the prefix sums of the given array, with the *ith* prefix sum representing the sum of elements from index 0 to index *i* in the array.<br><br>The subarray sum between two indices *i* and *j* can then be computed as the difference between the prefix sums at these indices.<br><br>Time Complexity: **O(n^2)**, due to the nexted loop.	While an obscure and slightly inefficient approach, the BIT can conceivably compute the sum of a range of elements.<br><br>The subarray whose sum equals the target value *k* can be found by iteratively adding elements to the BIT and checking if the difference between the current sum and k has been seen before.<br><br>The time complexity of this approach is O(n log(n)), with poor space complexity too.	**Correct!**<br><br>This only needs a *single pass* over the array, and uses *constant space* to maintain the hash table!<br><br>The hash table also allows for constant time lookups of the sum of elements up to each index, which helps to reduce the time complexity of the algorithm.<br><br>Time Complexity: O(n)<br>Memory Complexity: O(n)	**Suboptimal.**<br><br>This approach involves sorting the given array and then iterating over it to compute the sum of all possible subarrays. The idea is that the sorted array will have all the subarrays with the same sum grouped together, which can then be counted using a sliding window approach.<br><br>However, the sorting step takes O(n log(n)) time.	Consider all possible subarrays of the given array and calculate their sum, with time complexity of **O(n^3)**.  We can then count the number of subarrays whose sum equals to k.<br><br>This can be done using two nested loops to iterate through all possible starting and ending indices of the subarrays and calculating their sum.<br><br>If the sum equals k, increment a counter.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Subarray%20Sum%20Equals%20K.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Subarray%20Sum%20Equals%20K.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Subarray%20Sum%20Equals%20K.java	https://youtu.be/Aj4na0jQAwY
Coding Interviews	Arrays: Prefix Sum	Contiguous Array	https://leetcode.com/problems/contiguous-array/	Given a binary array *nums*, return the **maximum length of a contiguous subarray** with an equal number of *0* and *1*.	O(n)	O(n)	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(n)**	Sliding Window + Hash Table	Stack	Kadane's Algorithm	Two Linear Passes	A	**Correct!**<br><br>The given solutions make use of a relatively famous application of the sliding window technique to solve this problem! I strongly encourage you to try it yourself!<br><br>Time Complexity: O(n)<br>Memory Complexity: O(n)	Not quite the best approach!<br><br>It **IS O(n) in both time and memory complexity**, but requires more operations to maintain the stack and find the farthest elements, which makes it slightly **inferior** to the **sliding window** approach.	This would **not** be a good approach for solving this kind of problem!	In this **suboptimal** attempt, the first pass replaces all 0s with -1 and computes the prefix sums of the resulting array. In the second pass, the maximum length of the contiguous subarray with zero sum is computed.<br><br>Time Complexity: **O(n)**<br>Space Complexity: **O(n)** due to the use of prefix sums, but it requires two passes over the input array, making it less efficient than the optimal sliding window approach. We prefer both the sliding window and the stack to this method.	Consider all possible subarrays and for each subarray count the number of 0's and 1's. If the number of 0's and 1's is the same, update the maximum length of subarrays found so far.<br><br>Time Complexity: O(n^3) as we need to consider all possible subarrays, and for each subarray, we would need to count the number of 0's and 1's, which would take O(n) time.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Contiguous%20Array.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Contiguous%20Array.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Contiguous%20Array.java	https://youtu.be/OY_qStggenA
Coding Interviews	Arrays: Sliding Window	Contains Duplicate II	https://leetcode.com/problems/contains-duplicate-ii/	Given an integer array *nums* and an integer *k*, return *true* if there are two **distinct indices** *i* and *j* in the array such that *nums[i] == nums[j]* and *abs(i - j) <= k*.	O(n)	O(n)	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(n)**	Cumulative Sum + Hash Table	Sorting	Sliding Window + Hash Table	Sliding Window + Cleverly Nested Loops	C	This idea just doesn't work at all.<br><br>We're looking for a matching pair in the array, rather than anything that involves computing a sum.	**Overly complicated!**<br><br>At best, this would yield a solution of O(n log(n)) time due to the sorting step.	**Correct!**<br><br>In this approach, we maintain a window of size *k* and slide it over the input array. We use a hash table to efficiently keep track of the count of each element within the current window.  The two pointers keep track of the current window, and we keep tack of the maximum count seen so far<br><br>Whenever we slide the window to the right, we decrement the count of the element that is no longer in the window and increment the count of the new element that enters the window. We also keep track of the maximum count seen so far within any window of size k. If this maximum count is greater than or equal to t, we return true.<br><br>Time Complexity: **O(n)**<br>Memory Complexity: **O(n)**	However ingenious, nested loops will remain **O(n^2)** with this approach!<br><br>This would involve using a sliding window of size k to check every possible pair of elements within the window, moving the window one element at a time until we have checked all possible pairs.	We'd simply check every pair of indices *(i, j)* such that *i < j* and *nums[i] == nums[j]* and *abs(i - j) <= k*. Use nested loops to iterate over all possible pairs of indices, and then checking the conditions for each pair. If a pair is found that satisfies the conditions, return true. Otherwise, return false.<br><br>The time complexity of this approach would be O(n^2).<br>The space complexity would be O(1), since we are only using a constant amount of extra space to store the loop variables and the boolean flag for the result.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Contains%20Duplicate%20II.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Contains%20Duplicate%20II.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Contains%20Duplicate%20II.java	https://youtu.be/tJLbrZdUuXk
Coding Interviews	Arrays: Sliding Window	Max Consecutive Ones III	https://leetcode.com/problems/max-consecutive-ones-iii/	Given a binary array *nums* and an integer *k*, return the **maximum number of consecutive** *1*'s in the array if you can flip **at most** *k* *0*'s.	O(n)	O(1)	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(1)**	Two Pointers	Sliding Window	Floyd's Tortoise And Hare	Hash Table	B	**Incorrect!**<br><br>This approach is similar to the correct one, but it does not consider the fact that we can flip at most k zeroes. It may update the result even when it has already flipped k zeros, leading to an incorrect answer.	**Correct!**<br><br>To solve this, we maintain a window of the required elements and slide it over the array. In our solution, we keep a window of consecutive 1's while tracking the number of 0's encountered inside the window.<br><br>If the number of 0's exceeds k, we move the window's start index to the right until the number of 0's inside the window is less than or equal to k.<br><br>Time Complexity: **O(n)**<br>Memory Complexity: **O(1)**	**No!**	**Suboptimal**<br><br>This uses a hash table to store the number of zeroes and ones in each subarray of the input array, then iterates through it to find the subarray with the maximum number of ones that can be obtained by flipping at most k zeroes.<br><br>This approach is inefficient in terms of both time and space!	1)Initialize a variable maxLen to 0.<br>2) Iterate over all possible subarrays of the given array using two nested loops, one for the start index and one for the end index.<br>3) Count the number of zeros in the current subarray. If the count is less than or equal to k, update maxLen to the maximum of its current value and the length of the subarray.<br>4) Return maxLen.<br><br>The time complexity is O(n^3), where n is the length of the input array, since it involves iterating over all possible subarrays. Find a more efficient method!	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Max%20Consecutive%20Ones%20III.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Max%20Consecutive%20Ones%20III.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Max%20Consecutive%20Ones%20III.java	https://youtu.be/nT2RQWFxmhk
Coding Interviews	Arrays: Sliding Window	Longest Substring Without Repeating Characters	https://leetcode.com/problems/longest-substring-without-repeating-characters/	Given a string *s*, find the length of the **longest substring** without repeating characters.	O(n)	O(min(n,m))	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(min(n,m))**	Stack + Hash Table	Sliding Window + Hash Set	Two Pointers	Sliding Window + Hash Table	D	**Over-engineered!**<br><br>The idea here is to iterate through each character in s, and for each character, we first check if it has been visited before. If it has, we pop characters from the stack until we reach the first occurrence of the current character, and mark all popped characters as unvisited in the hash table.<br><br>We then push the current character onto the stack, mark it as visited, and update the result with the maximum length seen so far.<br><br>This solution has a time complexity of **O(n^2)** in the worst case, while the space complexity is **O(n)**.	**Inefficient!**<br><br>This would combine a sliding window approach with a hash set by maintaining a hash set of characters in the current window and sliding the window along the string. We'd add characters to the hash set while moving the window forward, and remove characters from the hash set while moving it backwards.<br><br>However, the time complexity of this approach would be O(n^2) in the worst case, where n is the length of the input string.	**Not Quite!**<br><br>This is a solid approach, using two pointers to maintain a sliding window of distinct characters. The left pointer can mark the start of the window, with a right pointer expanding the window each time. When encountering a repeating character, we move the left pointer to the index after the repeated character.<br><br>However, the time complexity would be O(2n) in the worst case, where all characters are the same.	**Correct!**<br><br>Our algorithm initializes two pointers, start and end, to the beginning of the string. It then moves the end pointer to the right until it reaches a repeated character. At this point, it moves the start pointer to the next index AFTER the previous occurrence of the repeated character, effectively removing that character and any previous characters from the substring.<br><br>After each iteration, it calculates the length of the current substring and updates the maximum length. Finally, it returns the maximum length.<br><br>Time Complexity: **O(n)**, since it performs a constant number of operations for each character in the string.<br>Space Complexity: **O(min(n, m))**, where m is the size of the character set.	We can use two nested loops to iterate over the starting and ending indices of the substring, with a hash set keeping track of the unique characters in the current substring.<br><br>This would be O(n^3) since we are iterating over all possible substrings, making it extremely inefficient for larger inputs.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Longest%20Substring%20Without%20Repeating%20Characters.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Longest%20Substring%20Without%20Repeating%20Characters.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Longest%20Substring%20Without%20Repeating%20Characters.java	https://youtu.be/6RELwHH8Bl8
Coding Interviews	Arrays: Sliding Window	Maximum Subarray	https://leetcode.com/problems/maximum-subarray/	Given an integer array *nums*, find the **subarray** with the largest sum, and return its *sum*.	O(n)	O(1)	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(1)**	Greedy Algorithm	Kadane's Algorithm	Divide And Conquer	Sort + Sum	B	**Rather unwieldy!**<br><br>The idea would be to add the current element at each index to the sum if it increases the sum - and start a new subarray otherwise. This approach may fail for certain input cases, such as when starting a new subarray prematurely would cause the maximum subarray sum to be missed.<br><br>Kadane's algorithm is better for handling all input cases correctly.	**Correct!**<br><br>Kadane's Algorithm works by iterating through the array, calculating the max sum ending at the current index. If the max sum ending at the current index is greater than the current element, then it updates the max sum ending at the current index.<br><br>Finally, it updates the result with the max of the current result and the max sum ending at the current index.<br><br>The time complexity of Kadane's algorithm is **O(n)**, as it only needs to iterate through the array once.<br>Memory Complexity: **O(1)**, as it only uses constant extra space to store the maximum sum ending at the current index and the maximum subarray sum found so far.	**Inefficient** compared to other methods.<br><br>This would divide the array in half, while recursively finding both the maximum subarray sum for each half AND the maximum subarray sum crossing the middle. <br><br>Theese results can then be combined successfully, albeit with a time complexity of O(n log(n)), which is not as efficient as Kadane's Algorithm.<br>It also requires more memory to store the recursive calls and results.	**Incorrect**, as there's no guarantee the subarray must be contiguous. <br><br>Sorting the array can change the order of the elements and therefore break the contiguity of the subarray.	Try all possible subarrays and keep track of the maximum sum.<br><br>This simple approach has a time complexity of O(n^2), which is not efficient for large input sizes.  There is a better way to do this!	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Maximum%20Subarray.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Maximum%20Subarray.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Maximum%20Subarray.java	https://youtu.be/MARF46gaCkE
Coding Interviews	Arrays: Sliding Window	Maximum Absolute Sum Of Any Subarray	https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/	You are given an integer array *nums*. The **absolute sum** of a subarray *[nums(l), nums(l+1), ..., nums(r-1), nums(r)]* is *abs(nums(l) + nums(l+1) + ... + nums(r-1) + nums(r)).<br><br>Return the **maximum** *absolute sum* of **any (possibly empty) subarray** of *nums*.<br><br>Note that abs(x) is defined as follows:<br>If *x* is a negative integer, then *abs(x) = -x.*<br>If *x* is a non-negative integer, then *abs(x) = x*.	O(n)	O(1)	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(1)**	Divide And Conquer	Sort and Sum	Kadane's Algorithm	Dynamic Programming	C	**Incorrect.**<br><br>The idea is to divide the array into two subarrays: one with all negative numbers and one with all non-negative numbers. We'd then return the absolute sum of the subarray with the largest sum.<br><br>However, it may not handle cases where the array contains both positive and negative numbers correctly.	**Suboptimal at best!**<br><br>The idea is to sort the array in non-decreasing order and return the absolute sum of the subarray containing the largest and smallest elements.<br><br>However, sorting the array takes **O(n log(n))** time, which is not optimal for this problem. In addition, this approach doesn't consider all subarrays, and it may miss the maximum absolute sum.	**Correct!**<br><br>Our solution applies Kadane's algorithm to find the maximum sum subarray and the minimum sum subarray of the given array. It then takes the maximum of the absolute value of the maximum sum subarray and the absolute value of the minimum sum subarray to get the maximum absolute sum of any subarray.<br><br>Time Complexity: O(n), as it uses Kadane's algorithm twice, with both iterations taking linear time.<br>Space Complexity: O(1), as it only uses constant extra space to store the maximum sum and minimum sum subarrays found so far.	**Madness!**<br><br>The method uses DP to keep track of the maximum and minimum absolute sum of any subarray that ends at each index.<br><br>This approach has a time complexity of O(n^2), due to the use of nested loops that iterate over all previous indices. It can also produce incorrect results, as the maximum absolute sum subarray may not end at the last index. For example, if the array has a single negative number, the maximum absolute sum subarray will be of length 1 and will not end at the last index.	We can iterate through all subarrays of nums and calculate their absolute sums. After that, we return the maximum of all the absolute sums found.<br><br>However, this approach is O(n^3) in time complexity.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Maximum%20Absolute%20Sum%20of%20Any%20Subarray.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Maximum%20Absolute%20Sum%20of%20Any%20Subarray.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Maximum%20Absolute%20Sum%20of%20Any%20Subarray.java	https://youtu.be/fWZQmbkmdAc
Coding Interviews	Arrays: Sliding Window	Maximum Sum Circular Subarray	https://leetcode.com/problems/maximum-sum-circular-subarray/	Given a circular integer array *nums* of length *n*, return the **maximum possible sum** of a **non-empty subarray** of *nums*.<br><br>A **circular array** means the end of the array connects to the beginning of the array. Formally, the next element of *nums[i]* is *nums[(i + 1) % n]* and the previous element of *nums[i]* is *nums[(i - 1 + n) % n]*.<br><br>A **subarray** may only include each element of the fixed buffer *nums* at most once. Formally, for a subarray *nums[i], nums[i + 1], ..., nums[j]*, there does not exist *i <= k1*, *k2 <= j* with *k1 % n == k2 % n*.	O(n)	O(1)	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(1)**	Divide and Conquer	Dynamic Programming	Kadane's Algorithm	Sliding Window	C	**Over-complicated!**<br><br>We divide the array into two, recursively finding the maximum sum subarray in each part. Then, we need to consider the subarrays that cross the midpoint and calculate their sum. The maximum of these three sums would be the maximum sum circular subarray.<br><br>However, a D&C approach would have O(n^2) time complexity and O(n) space complexity!	**Overly complex** compared to other approaches!<br><br>Time Complexity: O(n^2)<br>Space Complexity: O(n)	**Correct!**<br><br>We can first find the maximum subarray sum with Kadane's algorithm, and then the minimum subarray sum using the same algorithm. Then, we can calculate the sum of the entire array.<br><br>The solution then uses these values to calculate the maximum sum subarray in a circular array. If the sum of the entire array equals the minimum subarray sum, then the array has no circular subarray, and the maximum subarray sum is simply the maximum subarray sum found in the linear array. Otherwise, the maximum sum subarray could be a circular subarray, and its sum can be calculated as either the maximum subarray sum, or the difference between the sum of the entire array and the minimum subarray sum.<br><br>Time Complexity: O(n)<br>Memory Complexity: O(1)	This is a **very expensive** window!<br><br>We can calculate the maximum sum subarray that starts from each index, and then calculate the maximum sum subarray that wraps around the array, which can be done by splitting it into two subarrays and calculating their sums using Kadane's algorithm. The maximum of these three sums would be the maximum sum circular subarray.<br><br>This approach would be O(n^2) time and O(1) space.	Iterate through every possible subarray of nums and calculate its sum. Since the array is circular, we can create a new array with size 2*n, where the first n elements are the same as nums, and the last n elements are also the same as nums. Then, for each starting index i (0 <= i < n), we can iterate j (i <= j < i+n), and calculate the sum of nums[i] + nums[i+1] + ... + nums[j]. If the j index goes over n, we can simply subtract n from it to get the corresponding index in the original nums array. We can keep track of the maximum sum we find and return it at the end.<br><br>Although this approach is simple to understand and implement, its time complexity is O(n^2), making it inefficient for large arrays.	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Maximum%20Sum%20Circular%20Subarray.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Maximum%20Sum%20Circular%20Subarray.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Maximum%20Sum%20Circular%20Subarray.java	https://youtu.be/cUvIRYS7ktg
Coding Interviews	Arrays: Two Pointers	Two Sum II: Input Array Is Sorted	https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/	Given a **1-indexed array** of integers *numbers* that is already **sorted in non-decreasing order**, find two numbers such that they add up to a specific **target** number. Let these two numbers be *numbers[index1]* and *numbers[index2]* where *1 <= index1 < index2 < numbers.length*.<br><br>Return the **indices of the two numbers**, *index1* and *index2*, **added by one** as an integer array *[index1, index2]* of length 2.<br><br>The tests are generated such that there is exactly **one solution**. You **may not** use the same element twice.<br><br>Your solution must use only **constant extra space**.	O(n)	O(n)	We're expecting an optimized solution of:<br>Time Complexity: **O(n)**<br>Memory Complexity: **O(n)**	Sorting	Floyd's Tortoise And Hare	Kadane's Algorithm + Hash Set	Two Pointers	D	**Suboptimal!**  While this approach is more efficient than the brute force approach, it changes the order of the elements in the array and may not return the original indices of the two numbers that add up to the target.<br><br>Hypothetically, we'd use this method:<br>1) Sort the array.<br>2) Use two pointers: one starting from the beginning of the array, and one starting from the end. Move them towards each other, checking the sum of the values at each pointer.<br>3) If the sum is greater than the target, move the end pointer to the left.<br>4) If the sum is less than the target, move the start pointer to the right.<br><br>Time complexity: **O(n log(n))** due to sorting<br>	Simply, no!	**Why?**<br><br>There's no reason to utilize Kadane's algorithm here: it is reserved for finding the maximum or minimum sums of arrays or subarrays.	**Correct!**<br><br>A two-pointer approach is ideal, since the array is sorted. We initialize one pointer at the beginning of the array (left) and one at the end (right), and then compare the sum of the numbers at the left and right indices with the target value.<br><br>If the sum is less than the target, we move the left pointer to the right to consider a larger number.<br>If the sum is greater than the target, we move the right pointer to the left to consider a smaller number.<br>Finally, if the sum is equal to the target, we return the indices of the two numbers.<br><br>Time Complexity: **O(n)**<br>Space Complexity: **O(n)**, due to the hash table	For each pair of indices *(i,j)* with *i < j*, check if *nums[i] + nums[j] == target*.  This approach is very inefficient since it requires a nested loop to check every possible pair of indices.<br><br>Time complexity is O(n^2)	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPackSolutionsCPP/Two%20Sum%20II%20-%20Input%20Array%20Is%20Sorted.cpp	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsPythonSolutions/Two%20Sum%20II%20-%20Input%20Array%20Is%20Sorted.py	https://raw.githubusercontent.com/rabogan/tentativeSolutions/main/CodingInterviewsJavaSolutions/Two%20Sum%20II%20-%20Input%20Array%20Is%20Sorted.java	https://youtu.be/zpuu4zQFaDo
