Problem Name	Problem Link	Question Statement	Time Complexity	Memory Complexity	Question	A	B	C	D	Correct	Half-Points	Link To Correct Answer	Message Response For A	Message Response For B	Message Response For C	Message Response For D	Bogan's Brute Force!!!
Maximum Difference Between Increasing Elements	LeetCode 2016 (Also LeetCode 121)	Given a 0-indexed integer array nums of size n, find the maximum difference between nums[i] and nums[j] (i.e., nums[j] - nums[i]), such that 0 <= i < j < n and nums[i] < nums[j].     Return the maximum difference. If no such i and j exists, return -1.	O(n)	O(1)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(1)?	Cumulative Sum Approach	Simple Sliding Window	Sliding Window + Hash Table	Linear Scan With a Single Pointer	D	B	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/2016.%20Maximum%20Difference%20Between%20Increasing%20Elements.cpp	Incorrect!  This approach fails to keep track of the minimum element encountered as we pass through the array	Not quite the optimal approach!  A sliding window is typically used when we're looking for a contiguous array of a fixed length	Extremely inefficient.  Even if implemented, it would be O(n) in memory with no improvement on time complexity, whereas the optimal solution is O(1) in memory	Correct!  We can iterate through the array from back to front in a single pass, keeping track of the MAXIMUM element found so far, and check each new element to see if it's less than the maximum element.  If it is, we calculate the difference between this element and maximum, and compare it to the current maximum difference. 	Consider all possible pairs (i, j) where i < j and nums[i] < nums[j]. For each pair, compute their difference and keep track of the maximum difference found so far
SubArray Sum Equals K	LeetCode 560	Given an array of integers nums and an integer k, return the total number of subarrays whose sum equals to k.  A subarray is a contiguous non-empty sequence of elements within an array.	O(n)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(n)?	Cumulative Sum Approach	Binary Indexed Tree (BIT) Approach	Sliding Window + Hash Table	Sorting + Sliding Window Approach	C	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/560.%20Subarray%20Sum%20Equals%20K.cpp	Not so efficient, but feasible!  This approach involves precomputing the prefix sums of the given array, where the ith prefix sum represents the sum of elements from index 0 to index i in the array. The subarray sum between two indices i and j can then be computed as the difference between the prefix sums at these indices. This approach requires a nested loop to iterate over all possible subarrays, resulting in a time complexity of O(n^2), which makes it inferior to the sliding window approach with a hash map.	This is a little bit obscure!  The BIT could compute the sum of a range of elements.  The subarray whose sum equals the target value k can be found by iteratively adding elements to the BIT and checking if the difference between the current sum and k has been seen before.  However, it's O(n log n) in time, and also takes up a lot of space	Correct!  This only needs a single pass over the array, and uses constant space to maintain the hash map!   The hash map allows for constant time lookups of the sum of elements up to each index, which further reduces the time complexity of the algorithm	Suboptimal.  This approach involves sorting the given array and then iterating over it to compute the sum of all possible subarrays. The idea is that the sorted array will have all the subarrays with the same sum grouped together, which can be counted using a sliding window approach.   However, the sorting step takes O(n log n) time	We can consider all possible subarrays of the given array and calculate their sum. Then, count the number of subarrays whose sum equals to k. This can be done by using two nested loops to iterate through all possible starting and ending indices of the subarrays and calculating their sum. If the sum equals k, increment a counter. The time complexity of this approach is O(n^3) as we are iterating through all possible subarrays.
Contiguous Array	LeetCode 525	Given a binary array nums, return the maximum length of a contiguous subarray with an equal number of 0 and 1.	O(n)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(n)?	Sliding Window + Hash Table	Stack-Based Approach	Cumulative Sum Approach	Two Pass Approach	A	B	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/525.%20Contiguous%20Array.cpp	Correct!  We can make use of a relatively famous application of the sliding window technique to solve this problem!  I strongly encourage you to try it yourself!	The maximum length of the contiguous subarray is then computed by finding the difference between the indices of the two elements at the top of the stack that are farthest apart. It IS also O(n) in both time and memory complexity, but requires more operations to maintain the stack and find the farthest elements, which makes it slightly inferior to the Sliding Window approach	This approach involves computing the prefix sums of the given binary array, and then iterating over all pairs of indices to compute the difference in the prefix sums between them. If the difference is equal to zero, it means that there are equal numbers of 0s and 1s between those indices. This approach has a time complexity of O(n^2) and also requires extra space to store the prefix sums.	In this suboptimal attempt, the first pass replaces all 0s with -1 and computes the prefix sums of the resulting array. In the second pass, the maximum length of the contiguous subarray with zero sum is computed   This approach has a time complexity of O(n) and a space complexity of O(n) due to the use of prefix sums, but it requires two passes over the input array, making it less efficient than the optimal sliding window approach.  I prefer both the sliding window and the stack to this method	A brute force approach to solve this problem would be to consider all possible subarrays and for each subarray count the number of 0's and 1's. If the number of 0's and 1's is the same, update the maximum length of subarrays found so far. The time complexity of this approach would be O(n^3) as we need to consider all possible subarrays, and for each subarray, we would need to count the number of 0's and 1's, which would take O(n) time. This approach is inefficient and will not work for larger arrays.
Contains Duplicate II	LeetCode 219	Given an integer array nums and an integer k, return true if there are two distinct indices i and j in the array such that nums[i] == nums[j] and abs(i - j) <= k.	O(n)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(n)?	Cumulative Sum + Hash Table	Sorting	Sliding Window + Hash Table	Sliding Window + Cleverly Nested Loops	C	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/219.%20Contains%20Duplicate%20II.cpp	This idea just doesn't work at all.  We're looking for a matching pair in the array, rather than anything that involves computing a sum.	Complicated!  At best, this would yield a solution of O(n log n) time due to the sorting step	Correct!  In this approach, we maintain a "window" of size k and slide it over the input array. We use a hash table to keep track of the count of each element within the current window. Whenever we slide the window to the right, we decrement the count of the element that is no longer in the window and increment the count of the new element that enters the window. We also keep track of the maximum count seen so far within any window of size k. If this maximum count is greater than or equal to t, we return true.  The key data structure used in this approach is a hash table, which allows us to efficiently keep track of the count of each element within the current window. We also use two pointers to keep track of the current window, and a variable to keep track of the maximum count seen so far.	Hmmm…it's not possible to do better than Nested Loops (O(n^2) with this approach!  This would involve using a sliding window of size k to check every possible pair of elements within the window. We move the window one element at a time until we have checked all possible pairs. 	A brute force approach to solving this problem would involve checking every pair of indices (i, j) such that i < j and nums[i] == nums[j] and abs(i - j) <= k. This can be done by using two nested loops to iterate over all possible pairs of indices, and then checking the conditions for each pair. If a pair is found that satisfies the conditions, return true. Otherwise, if no such pair is found, return false.  The time complexity of this approach would be O(n^2), where n is the length of the array nums, since we need to iterate over all pairs of indices. The space complexity would be O(1), since we are only using a constant amount of extra space to store the loop variables and the boolean flag for the result.
Max Consecutive Ones III	LeetCode 1004	Given a binary array nums and an integer k, return the maximum number of consecutive 1's in the array if you can flip at most k 0's.	O(n)	O(1)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(1)?	Two Pointers	Sliding Window	Floyd's Tortoise And Hare Approach	Hash Map	B	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/1004.%20Max%20Consecutive%20Ones%20III.cpp	This approach is similar to the correct approach, but it does not consider the fact that we can flip at most k zeroes. It may update the result even when it has already flipped k zeros, leading to an incorrect answer.	Correct!  The approach used in this solution is called sliding window. In this approach, we maintain a window of the required elements and slide it over the array. In this particular problem, we maintain a window of consecutive 1's and keep track of the number of 0's encountered inside the window. If the number of 0's exceeds k, we move the window's start index to the right until the number of 0's inside the window is less than or equal to k.	No!	This uses a hash map to store the number of zeroes and ones in each subarray of the input array, then iterate through the hash map to find the subarray with the maximum number of ones that can be obtained by flipping at most k zeroes. Time complexity is O(n^2), which is inefficient.	One possible brute force approach to solve this problem is to try all possible subarrays of the given array and keep track of the maximum number of consecutive 1s that can be obtained by flipping at most k 0s. Here's an outline of the algorithm:  Initialize a variable maxLen to 0. Iterate over all possible subarrays of the given array using two nested loops, one for the start index and one for the end index. Count the number of zeros in the current subarray. If the count is less than or equal to k, update maxLen to the maximum of its current value and the length of the subarray. Return maxLen. This approach has a time complexity of O(n^3), where n is the length of the input array, since it requires iterating over all possible subarrays. It is therefore very inefficient and not suitable for large input sizes. There are more efficient algorithms that can solve this problem in O(n) time using sliding window or prefix sum techniques.
Longest Substring Without Repeating Characters	LeetCode 3	Given a string s, find the length of the longest  substring  without repeating characters.	O(n)	O(min(n,m))	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(min(n,m))?	Stack + Hash Map Approach	Sliding Window + Hash Set	Two Pointers	Sliding Window + Hash Map	D	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/3.%20Longest%20Substring%20Without%20Repeating%20Characters.cpp	Overly engineered!  This solution has a time complexity of O(n^2) in the worst case, because popping characters from the stack can take up to O(n) time in total if all characters are unique. The space complexity is O(n) to store the stack and visited map.  We iterate through each character in s, and for each character, we first check if it has been visited before. If it has, we pop characters from the stack until we reach the first occurrence of the current character, and mark all popped characters as unvisited in the visited map.  Then we push the current character onto the stack, mark it as visited, and update the result with the maximum length seen so far.	Inefficient!  You could use a sliding window approach, maintaining a hash set of characters in the current window and sliding the window along the string. Add characters to the hash set as you move the window forward and remove characters from the hash set as you move it backwards. The time complexity of this approach would be O(n^2) in the worst case, where n is the length of the input string.	Not Quite!  This is a solid approach, using two pointers to maintain a sliding window of distinct characters.  You can make a left pointer mark the start of the window and use a right pointer to expand the window. When encountering a repeating character, move the left pointer to the next index of the repeated character. The time complexity of this approach would be O(n) in the best case, where all characters are distinct, and O(2n) in the worst case, where all characters are the same.	Correct!  My algorithm initializes two pointers, start and end, to the beginning of the string. It then moves the end pointer to the right until it reaches a repeated character. At this point, it moves the start pointer to the next index after the previous occurrence of the repeated character, effectively removing that character and any previous characters from the substring.  After each iteration, it calculates the length of the current substring and updates the maximum length. Finally, it returns the maximum length.  The time complexity of this algorithm is O(n) since it performs a constant number of operations for each character in the string. The space complexity is O(min(n, m)) where m is the size of the character set. In the worst case where all characters in the string are unique, the space complexity is O(n).	This can be done using two nested loops to iterate over the starting and ending indices of the substring, and a hash set to keep track of the unique characters in the current substring.  The time complexity of this approach is O(n^3) since we are iterating over all possible substrings and checking if they contain only unique characters. The space complexity is O(min(n, m)) where m is the size of the character set, since the hash set can contain at most m elements. This approach is not efficient for large inputs and will time out on LeetCode test cases.
Maximum Subarray	LeetCode 53	Given an integer array nums, find the subarray with the largest sum, and return its sum.	O(n)	O(1)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(1)?	Greedy Algorithm	Kadane's Algorithm	Divide And Conquer	Sort + Sum	B	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/53.%20Maximum%20Subarray.cpp	At each index, add the current element to the sum if it increases the sum, otherwise start a new subarray. This approach may fail for certain input cases, where starting a new subarray prematurely can cause the maximum subarray sum to be missed. Kadane's algorithm handles all input cases correctly.	Correct!  Kadane's algorithm works by iterating through the array, calculating the maximum sum ending at the current index. If the maximum sum ending at the current index is greater than the current element, then it updates the maximum sum ending at the current index. Then, it updates the result with the maximum of the current result and the maximum sum ending at the current index.  Time complexity of Kadane's algorithm is O(n), as it only needs to iterate through the array once. Space complexity is O(1), as it only uses constant extra space to store the maximum sum ending at the current index and the maximum subarray sum found so far.	Divide the array in half and recursively find the maximum subarray sum for each half, and the maximum subarray sum crossing the middle. Combine the results. This approach has a time complexity of O(n log n), which is not as efficient as Kadane's algorithm. It also requires more memory to store the recursive calls and results.	Sort the array and find the largest sum of consecutive elements. This approach does not work because the subarray must be contiguous. Sorting the array can change the order of the elements and therefore break the contiguity of the subarray.	Try all possible subarrays and keep track of the maximum sum. This approach has a time complexity of O(n^2), which is not efficient for large input sizes. It is also unnecessary because Kadane's algorithm has a linear time complexity
Maximum Absolute Sum Of Any Subarray	LeetCode 1749	You are given an integer array nums. The absolute sum of a subarray [numsl, numsl+1, ..., numsr-1, numsr] is abs(numsl + numsl+1 + ... + numsr-1 + numsr).  Return the maximum absolute sum of any (possibly empty) subarray of nums.  Note that abs(x) is defined as follows:  If x is a negative integer, then abs(x) = -x. If x is a non-negative integer, then abs(x) = x.	O(n)	O(1)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(1)?	Divide And Conquer	Sort and Sum	Kadane's Algorithm	Dynamic Programming	C	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/1749.%20Maximum%20Absolute%20Sum%20of%20Any%20Subarray.cpp	Divide the array into two subarrays, one with all negative numbers and one with all non-negative numbers. Return the absolute sum of the subarray with the largest sum. This approach only considers two subarrays and may miss the maximum absolute sum if it is not in either of them. Also, it may not handle cases where the array contains both positive and negative numbers correctly.	Sort the array in non-decreasing order and return the absolute sum of the subarray containing the largest and smallest elements. Sorting the array takes O(nlogn) time, which is not optimal for this problem. Also, this approach doesn't consider all subarrays, and it may miss the maximum absolute sum.	Correct!  To solve this problem, my solution first applies Kadane's algorithm to find the maximum sum subarray and the minimum sum subarray of the given array. Then it takes the maximum of the absolute value of the maximum sum subarray and the absolute value of the minimum sum subarray to get the maximum absolute sum of any subarray.  The time complexity is O(n), as it uses Kadane's algorithm twice, and both iterations take linear time. Space complexity is O(1), as it only uses constant extra space to store the maximum sum and minimum sum subarrays found so far.	Use dynamic programming to keep track of the maximum and minimum absolute sum of any subarray that ends at each index.  This approach has a time complexity of O(n^2), due to the nested loop that iterates over all previous indices. It can also produce incorrect results, as the maximum absolute sum subarray may not end at the last index. For example, if the array has a single negative number, the maximum absolute sum subarray will be of length 1 and will not end at the last index.	Iterate through all subarrays of nums and calculate their absolute sums. Return the maximum of all the absolute sums found. This approach is brute force and has a time complexity of O(n^3), which is too slow for large inputs.
Maximum Sum Circular Subarray	LeetCode 918	Given a circular integer array nums of length n, return the maximum possible sum of a non-empty subarray of nums.  A circular array means the end of the array connects to the beginning of the array. Formally, the next element of nums[i] is nums[(i + 1) % n] and the previous element of nums[i] is nums[(i - 1 + n) % n].  A subarray may only include each element of the fixed buffer nums at most once. Formally, for a subarray nums[i], nums[i + 1], ..., nums[j], there does not exist i <= k1, k2 <= j with k1 % n == k2 % n.	O(n)	O(1)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(1)?	Divide and Conquer	Dynamic Programming	Kadane's Algorithm	Sliding Window	C	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/918.%20Maximum%20Sum%20Circular%20Subarray.cpp	We divide the array into two parts, and recursively find the maximum sum subarray in each part.    Then, we need to consider the subarrays that cross the midpoint and calculate their sum. The maximum of these three sums would be the maximum sum circular subarray.  Except, D&C is not in fact the only possibility here!  This approach would take O(n^2) time complexity and O(n) space complexity!	We can first find the maximum subarray sum with Kadane's algorithm, and then the minimum subarray sum using the same algorithm on the negated array. Then, we can calculate the sum of the entire array and subtract the minimum subarray sum from it to get the maximum sum circular subarray  This approach would take O(n^2) time complexity and O(n) space complexity.  It is correct to use Kadane's algorithm, though!	Correct!  The solution then uses these values to calculate the maximum sum subarray in a circular array. If the sum of the entire array equals the minimum subarray sum, then the array has no circular subarray, and the maximum subarray sum is simply the maximum subarray sum found in the linear array. Otherwise, the maximum sum subarray could be a circular subarray, and its sum can be calculated as the difference between the sum of the entire array and the minimum subarray sum.	We can calculate the maximum sum subarray that starts from each index, and then calculate the maximum sum subarray that wraps around the array, which can be done by splitting it into two subarrays and calculating their sums using Kadane's algorithm. The maximum of these three sums would be the maximum sum circular subarray.  This is a very expensive window!  This approach would take O(n^2) time complexity and O(1) space complexity.	A brute force approach to solve this problem is to iterate through every possible subarray of nums and calculate its sum. Since the array is circular, we can create a new array with size 2*n, where the first n elements are the same as nums, and the last n elements are also the same as nums. Then, for each starting index i (0 <= i < n), we can iterate j (i <= j < i+n), and calculate the sum of nums[i] + nums[i+1] + ... + nums[j]. If the j index goes over n, we can simply subtract n from it to get the corresponding index in the original nums array. We can keep track of the maximum sum we find and return it at the end.  Although this approach is simple to understand and implement, its time complexity is O(n^2), making it inefficient for large arrays.
Two Sum II: Input Array Is Sorted (Tutorial Problem)	LeetCode 167	Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.  You may assume that each input would have exactly one solution, and you may not use the same element twice.  You can return the answer in any order.	O(n)	O(n)	Which of the following approaches will most efficiently yield a solution of time complexity O(n) and memory complexity of O(n)?	Sorting	Floyd's Tortoise And Hare Approach	Kadane's Algorithm Plus Hash Set	Hash Table and Linear Scanning	D	X	https://github.com/rabogan/LeetCodePractice/blob/main/MasteringLeetCodeExemplarSolutions/167.%20Two%20Sum%20II%20-%20Input%20Array%20Is%20Sorted.cpp	Sort the array and use two pointers, one starting from the beginning of the array and one starting from the end. Move the pointers towards each other, checking the sum of the values at each pointer. If the sum is greater than the target, move the end pointer to the left. If the sum is less than the target, move the start pointer to the right. Time complexity is O(n log n) due to sorting.  While this approach is more efficient than the brute force approach, it changes the order of the elements in the array and does not return the original indices of the two numbers that add up to the target.	Simply, no!	There's  no reason to utilize Kadane's algorithm here; that's reserved for finding the maximum or minimum sums of arrays or subarrays. 	Correct!  In this approach, a hash table is used to store the elements and their corresponding indices in the first pass. In the second pass, the target - nums[i] is computed and checked if it is present in the hash table. If found, the indices are returned.  The time complexity of this approach is O(n), where n is the size of the input array. The space complexity is also O(n) because the hash table may contain all elements of the array.	Brute Force: For each pair of indices (i,j) with i < j, check if nums[i] + nums[j] == target. Time complexity is O(n^2).  This approach is very inefficient since it requires a nested loop to check every possible pair of indices.
